Institution name,Parent / affiliate relationship,Category,Capital type,Relevant team or strategy name,Primary U.S. office,Other relevant U.S. offices,Approximate AUM or relevant fund size,Typical transaction size,Specific data center focus,Example transactions,Number of relevant transactions since Jan 2024 (verified in this dataset),Most recent verified sector activity,Activity status,Dedicated digital infra team?,Dedicated AI infrastructure strategy?,Recent fund close or new vehicle,Recent senior hires or new U.S. office,Titles that own these deals at this firm,Careers page URL,Evidence strength,Source URLs,Notes
NRG Energy,NRG Energy Inc. (NYSE: NRG),8,Corporate / contracted capital,NRG generation and data center origination,Houston TX,Unknown / Not verified,Unknown / Not verified,USD 500m - USD 12bn,Acquiring dispatchable generation to serve data center load growth; site-level power agreements,Acquisition of a 13GW LS Power gas portfolio plus a 6GW VPP platform; strategic agreement with LandBridge to power a potential Delaware Basin data center,2,2026,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.sec.gov/Archives/edgar/data/1013871/000101387125000023/nrgq32025ex991.htm | https://s206.q4cdn.com/931981395/files/doc_news/LandBridge-Announces-Strategic-Agreement-with-NRG-to-Power-Potential-Data-Center-in-the-Delaware-Basin-Texas-2025.pdf,
LandBridge Company,NYSE: LB; backed by Five Point Infrastructure,8,Equity (land and surface capital),LandBridge surface land for powered campuses,Houston TX,Unknown / Not verified,"~277,000 surface acres in Texas and New Mexico",Unknown / Not verified,Powered land leasing for gigawatt-scale data center campuses,"2026-04 lease development agreement with PowerBridge for up to ~3,400 acres in Reeves County TX for a 2GW campus (Alpha Digital Campus); strategic agreement with NRG for a potential Delaware Basin data center",2,2026-04,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.landbridgeco.com/investor-relations/news/news-details/2026/LandBridge-Announces-Agreement-with-PowerBridge-for-the-Development-of-a-2-GW-Powered-Data-Center-Campus/default.aspx | https://s206.q4cdn.com/931981395/files/doc_news/LandBridge-Announces-Strategic-Agreement-with-NRG-to-Power-Potential-Data-Center-in-the-Delaware-Basin-Texas-2025.pdf,A listed land company functioning as a powered-land capital vehicle.
PowerBridge,Five Point Infrastructure portfolio platform,8,Equity,PowerBridge,Houston TX,Unknown / Not verified,USD 1bn equity commitment at formation,USD 100m - USD 2bn,Gigawatt-scale natural-gas-powered data center campuses; pad-ready powered campuses,2025-05 formation with USD 1bn equity commitment from Five Point Infrastructure; 2026-04 LandBridge Alpha Digital Campus 2GW agreement; partnership with Liberty Energy on a 2GW West Texas AI campus,3,2026-04,Very Active (12mo),Yes,Yes,"USD 1bn equity commitment at formation, May 2025",Platform launched 2025,Unknown / Not verified,Unknown / Not verified,A,https://www.businesswire.com/news/home/20250515364198/en/Five-Point-Infrastructure-Announces-the-Formation-of-PowerBridge-With-a-$1-Billion-Equity-Commitment-to-Develop-and-Build-Gigawatt-Scale-Powered-Data-Center-Campuses-in-North-America | https://energycapitalhtx.com/powerbridge-liberty-west-texas-data-center,
Advanced Power,Acquired by ArcLight Capital Partners (2025),8,Equity / development capital,Advanced Power,Boston MA,Unknown / Not verified,USD 1bn initial equity commitment from ArcLight; potential >USD 5bn over five years,USD 100m - USD 1bn,New power infrastructure development enabling over 20GW,2025-07 acquired by ArcLight with USD 1bn initial equity commitment (target),1,2025-07,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.prnewswire.com/news-releases/arclight-acquires-advanced-power-a-leading-power-infrastructure-developer-302512542.html,"Now an ArcLight platform and therefore, prospectively, a DigitalBridge platform."
New Era Energy & Digital,Listed company (formerly Verde Bio / New Era Helium lineage - verify),8,Equity,New Era Energy & Digital / Texas Critical Data Centers,Odessa TX,Unknown / Not verified,Unknown / Not verified,USD 50m - USD 500m,Gigawatt-scale powered campus development in the Permian,2025-12 binding agreement to acquire Sharon AI's 50% interest in Texas Critical Data Centers LLC; 203-acre land acquisition expanding the campus to 438 acres in Ector County TX,1,2025-12,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.businesswire.com/news/home/20251223632678/en/New-Era-Energy-Digital-Secures-Full-Ownership-of-Texas-Critical-Data-Centers-Through-Binding-Agreement-Completes-203-Acre-Land-Acquisition-Expanding-TCDC-Campus-in-Ector-County-Texas,Small-cap issuer; corporate lineage should be confirmed before treating as an institutional counterparty.
Fermi America,Listed company,8,Equity,Fermi America,Amarillo TX,Unknown / Not verified,~USD 15bn valuation at listing (secondary),Unknown / Not verified,Multi-gigawatt Texas campus combining generation and compute,2025 public listing at a reported ~USD 15bn valuation; multi-gigawatt Texas campus planned,1,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,C-rated: valuation and status from a single secondary source.
Hut 8,Hut 8 Corp. (NASDAQ: HUT),8,Equity / capital markets issuer,Hut 8 power and digital infrastructure,Miami FL,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,Power-first data center development; 144A capital markets issuance,Named among 144A data center issuers contributing to >USD 40bn of placements; American Bitcoin SPAC combination involving American Data Centers,1,2025,Very Active (12mo),Yes,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.bisnow.com/national/news/data-center-development/a-quiet-corner-of-private-credit-has-fueled-60b-in-data-center-development-134982 | https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/,Operator/issuer rather than an investor; included because it is a recurring capital markets counterparty.
Basin Electric Power Cooperative,Generation and transmission cooperative,8,Project capital,Basin Electric generation development,Bismarck ND,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1.5bn,Gas-fired generation developed jointly to serve data center load,1.5GW gas-fired project with NextEra Energy Resources to serve North Dakota data centers,1,2025,Very Active (12mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.utilitydive.com/news/nextera-basin-electric-data-center/807405/,"A cooperative, not a financial institution in the usual sense; included as a co-development capital counterparty."
Sandbrook Capital,Independent,8,Equity,Sandbrook Capital climate infrastructure,Stamford CT,Unknown / Not verified,Unknown / Not verified,USD 100m - USD 1bn,"Powered, ready-to-build land for large-scale data center infrastructure (per search summary)",Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Active (24mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.sandbrook.com/,"C-rated. The powered-land description came from a search summary, not a confirmed Sandbrook release - verify before use."
InfraVia Capital Partners,French infrastructure manager with US coverage,2,Equity,InfraVia infrastructure funds,Unknown / Not verified (US coverage from Paris and New York),Unknown / Not verified,"~USD 9.8bn AUM (2025, secondary)",USD 100m - USD 1bn,European hyperscale data center platform control equity,2025-03 OpCore 50% stake acquired from the iliad Group (EV EUR 860m; >EUR 2.5bn investment plan) - buyer; acquisition of Green (Swiss operator) from IFM Investors (per secondary),2,2025-03,Very Active (12mo),Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://infraviacapital.com/the-iliad-group-and-infravia-partner-to-develop-a-major-european-hyperscale-data-center-platform/ | https://www.datacenterdynamics.com/en/news/infravia-to-acquire-50-percent-of-iliads-opcore-data-center-unit/,Non-US assets. Included because it is a recurring counterparty for US advisers and co-investors; verify US team before outreach.
Ares Management (credit and infrastructure debt),Ares Management Corporation; distinct from the Ares equity and infrastructure equity teams listed in Category 2,4,Debt,Ares Alternative Credit / infrastructure debt; digital infrastructure business,New York NY,Los Angeles CA,USD 2.4bn single facility; ~USD 1.6bn held,USD 250m - USD 2.4bn,Large flexible private credit facilities to hyperscale data center platforms; refinancing plus development capital,"2026-02-10 Vantage Data Centers USD 2.4bn debt facility (arranger; ~USD 1.6bn of the commitment, ~USD 330m funded at close)",1,2026-02,Very Active (12mo),Yes,Yes,Unknown / Not verified,Named scaling the digital infrastructure business as a principal priority for 2026,Unknown / Not verified,Unknown / Not verified,A,https://ir.aresmgmt.com/news/ares-arranges-dollar24-billion-debt-facility-to-vantage-data-centers/c5a34084-ddb2-48c4-af66-db5c60c5c961 | https://www.proskauer.com/release/proskauer-advises-ares-on-24-billion-financing-for-vantage-data-centers,"Team-level split from the Category 2 Ares row, consistent with the Blue Owl treatment. A stated 2026 growth priority - a likely hiring area."
MetLife Investment Management,MetLife Inc.,4,Debt,MetLife Investment Management infrastructure debt and private placements,Whippany NJ,New York NY,~USD 26bn of private fixed income originated in 2025; ~USD 11.5bn across private credit in Q3 2025,USD 50m - USD 1bn,Infrastructure debt and private placements secured on data centers; published a dedicated data center investment thesis,Data center exposure originated within infrastructure debt and asset-based finance; firm publishes 'Data Center Investments: A 360-Degree View',Unknown / Not verified,2026-04,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Head of Infrastructure Debt,Unknown / Not verified,B,https://investments.metlife.com/insights/private-capital/data-center-investments-a-360-degree-view/ | https://www.metlife.com/investments/global/about-us/news-and-events/2026/april/metlife-investment-management-originates-26-billion-in-private-fixed-income-transactions-in-2025,Insurance general-account capital is a growing share of data center debt; MetLife IM is the most explicit about it.
Athene,Apollo Global Management subsidiary,4,Debt,Athene general account / Apollo-originated private credit,West Des Moines IA,New York NY,~USD 30bn of affiliated Schedule D assets (secondary),Unknown / Not verified,General-account balance sheet behind Apollo-originated data center and AI infrastructure credit,Unknown / Not verified - exposure is via Apollo origination rather than named transactions,Unknown / Not verified,2025,Active (24mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://d1e00ek4ebabms.cloudfront.net/production/uploaded-files/Sector_In-Depth-Life-Insurance-US-Life-17Jun2025-PBC_1442118-13e5e8a3-b692-4b9c-88d2-d9ed4ece1b4e.pdf,"C-rated: balance-sheet exposure is inferred from the Apollo origination relationship, not from a named data center transaction. Flagged accordingly."
Global Atlantic,KKR subsidiary,4,Debt,Global Atlantic general account / KKR-originated private credit,New York NY,Hartford CT (verify),~USD 24bn of affiliated Schedule D assets (secondary),Unknown / Not verified,General-account balance sheet behind KKR-originated infrastructure and asset-based credit,Unknown / Not verified - exposure is via KKR origination rather than named transactions,Unknown / Not verified,2025,Active (24mo),No,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://d1e00ek4ebabms.cloudfront.net/production/uploaded-files/Sector_In-Depth-Life-Insurance-US-Life-17Jun2025-PBC_1442118-13e5e8a3-b692-4b9c-88d2-d9ed4ece1b4e.pdf,Same caveat as Athene.
Lazard,Lazard Inc.,6,Advisory,Telecom and Digital Infrastructure team; Power Energy and Infrastructure team,New York NY,Unknown / Not verified,n/a,USD 100m - USD 5bn,Sell-side M&A on data center platforms; digital infrastructure coverage as a named team,"2025-03 OpCore 50% stake sale to InfraVia (EV EUR 860m) - financial adviser, sell-side (with RBC Capital Markets)",1,2025-03,Very Active (12mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.datacenterdynamics.com/en/news/infravia-to-acquire-50-percent-of-iliads-opcore-data-center-unit/ | https://mergersandinquisitions.com/infrastructure-investment-banking-group/,"Runs a separately named Telecom and Digital Infrastructure team alongside Power, Energy and Infrastructure - two distinct groups relevant to this universe."
Guggenheim Securities,Guggenheim Partners,6,Advisory,Guggenheim Securities technology and infrastructure,New York NY,Chicago IL,n/a,USD 100m - USD 2bn,Buy-side advisory on data center platform carve-outs,2025-10 Aligned Data Centers USD 40bn sale - lead financial adviser to the sellers (Macquarie Asset Management); Apollo's acquisition of STACK Infrastructure's European colocation business - financial adviser to Apollo (buy-side),2,2025-10,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://mergersandinquisitions.com/infrastructure-investment-banking-group/ | https://www.macquarie.com/us/en/about/news/2025/macquarie-asset-management-to-lead-sale-of-aligned-data-centers-at-an-enterprise-value-of-us-40-billion.html,Lead sell-side adviser on the largest data center transaction ever recorded.
Solomon Partners,Natixis affiliate,6,Advisory,Solomon Partners technology and energy transition,New York NY,Unknown / Not verified,n/a,USD 25m - USD 500m,Data-center-adjacent technology and data assets; energy transition coverage,Simplify Compliance sale of datacenterHawk to S&P Global - financial adviser to Simplify Compliance (sell-side),1,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://solomonpartners.com/transactions/ | https://solomonpartners.com/sectors/technology/,The verified deal is a data center data/analytics business rather than a facility - relevant but adjacent.
Nomura Greentech,Nomura Holdings,6,Advisory,Nomura Greentech sustainable technology and infrastructure,New York NY,San Francisco CA,n/a,USD 50m - USD 1bn,Sustainable infrastructure and power-for-compute advisory; participates in data center financing forums,Unknown / Not verified - firm participates in data center financing panels; no specific mandate isolated in this pass,Unknown / Not verified,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://www.nomuragreentech.com/ | https://www.projectfinance.law/podcasts/2025/april/ep293-data-center-financings,C-rated. Strong adjacency through power and energy transition; needs a named mandate to upgrade.
Evercore,Evercore Inc.,6,Advisory,Evercore infrastructure and technology advisory,New York NY,Unknown / Not verified,n/a,USD 500m - USD 10bn+,Large-cap infrastructure and technology M&A advisory including digital infrastructure verticals,Unknown / Not verified - named among the most active advisers in infrastructure verticals; no specific data center mandate isolated in this pass,Unknown / Not verified,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://mergersandinquisitions.com/infrastructure-investment-banking-group/,C-rated deliberately. Almost certainly active; this pass did not surface a named data center mandate. Closing this gap requires a Mergermarket or Infralogic adviser league-table pull.
Jefferies,Jefferies Financial Group,6,Multiple (Advisory + Debt),Jefferies infrastructure and technology investment banking,New York NY,Unknown / Not verified,n/a,USD 100m - USD 5bn,Infrastructure and technology M&A and leveraged finance including digital infrastructure,Unknown / Not verified - named among active infrastructure advisers; no specific data center mandate isolated in this pass,Unknown / Not verified,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://mergersandinquisitions.com/infrastructure-investment-banking-group/,C-rated for the same reason as Evercore.
Rothschild & Co,Rothschild & Co,6,Advisory,Rothschild & Co Global Advisory - infrastructure,New York NY,Unknown / Not verified,n/a,USD 100m - USD 5bn,Infrastructure M&A advisory including digital infrastructure,Unknown / Not verified - named among active infrastructure advisers; no specific data center mandate isolated in this pass,Unknown / Not verified,2025,Active (24mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,C,https://mergersandinquisitions.com/infrastructure-investment-banking-group/,C-rated for the same reason as Evercore.
Mubadala Investment Company,Abu Dhabi sovereign investor; parent of Mubadala Capital and majority owner of Fortress Investment Group; MGX is a separate Abu Dhabi vehicle,7,Equity,Mubadala direct investment,Unknown / Not verified (US coverage from Abu Dhabi and New York),Unknown / Not verified,Unknown / Not verified,USD 100m - USD 3bn,Prior equity in US hyperscale platforms; indirect exposure through Fortress power assets,Named among prior investors in Aligned Data Centers (per secondary); Mubadala Capital co-led the Crusoe Series E,1,2025-10,Very Active (12mo),Unknown / Not verified,Yes,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/ | https://www.crusoe.ai/resources/newsroom/crusoe-announces-series-e-funding,"Deduplication note: Mubadala Investment Company, Mubadala Capital and MGX are three distinct counterparties and are listed separately."
Avison Young,Independent,9,Advisory (Real estate capital markets),Data Center Solutions (DCS),Chicago IL,Unknown / Not verified,n/a,USD 10m - USD 500m,"Site selection, leasing, debt and equity, JV structuring and investment sales for data centers","Publishes a quarterly US data center update; DCS covers debt and equity placement, JV structuring and investment sales",Unknown / Not verified,2025,Active (24mo),Yes,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,B,https://www.avisonyoung.us/data-centers | https://www.avisonyoung.com/data-center-real-estate,Named capital markets capability within a dedicated data center service line; specific closed transactions not isolated in this pass.
Stream Realty Partners,"Former parent of Stream Data Centers, reported sold to Apollo Global Management (2025)",9,Advisory (Real estate) and principal,Stream Realty Partners capital markets; Stream Data Centers heritage,Dallas TX,Austin TX; Los Angeles CA,n/a,USD 25m - USD 500m,Data center development and capital markets; recently expanded capital markets teams,"Reported sale of Stream Data Centers to Apollo Global Management (2025, seller); recruited a capital markets team from Avison Young to open its first Downtown LA office",1,2025,Very Active (12mo),Yes,Unknown / Not verified,n/a,Recruited a capital markets and leasing team from Avison Young; opened first Downtown LA office,Unknown / Not verified,Unknown / Not verified,B,https://bebeez.eu/2026/01/21/2025-data-center-ma-in-review/ | https://www.bisnow.com/los-angeles/news/commercial-real-estate/avison-young-team-moves-stream-open-first-downtown-la-134850,Both a brokerage and a data center principal - the Apollo transaction should be confirmed against a primary release.
Citizens JMP Securities,"Citizens Financial Group; distinct brand from Citizens Digital Infrastructure / DH Capital",6,Advisory,Citizens JMP Securities,San Francisco CA,New York NY,n/a,USD 100m - USD 40bn,"Financial adviser roles on large data center platform sales","2025-10 Aligned Data Centers USD 40bn sale - financial adviser (sell-side, one of eight named advisers)",1,2025-10,Very Active (12mo),Unknown / Not verified,Unknown / Not verified,n/a,Unknown / Not verified,Unknown / Not verified,Unknown / Not verified,A,https://www.macquarie.com/us/en/about/news/2025/macquarie-asset-management-to-lead-sale-of-aligned-data-centers-at-an-enterprise-value-of-us-40-billion.html | https://www.businesswire.com/news/home/20251015016099/en/Macquarie-Asset-Management-to-Lead-Sale-of-Aligned-Data-Centers-at-an-Enterprise-Value-of-$US40-Billion,"Deduplication: Citizens appears three times in the market under three brands - Citizens (bank lending), Citizens Digital Infrastructure / DH Capital (middle-market advisory) and Citizens JMP Securities. Each is a separate coverage team."
